person_id,first_name,last_name,display_first_last,display_last_comma_first,display_fi_last,player_slug,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey,position,rosterstatus,games_played_current_season_flag,team_id,team_name,team_abbreviation,team_code,team_city,playercode,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag
1630534,Ochai,Agbaji,Ochai Agbaji,"Agbaji, Ochai",O. Agbaji,ochai-agbaji,2000-04-20 00:00:00,Kansas,USA,Kansas/USA,6-5,215,1.0,30,Guard,Active,N,1610612762,Jazz,UTA,jazz,Utah,ochai_agbaji,2022.0,2023.0,Y,Y,Y,2022,1,14,N
200772,Maurice,Ager,Maurice Ager,"Ager, Maurice",M. Ager,maurice-ager,1984-02-09 00:00:00,Michigan State,USA,Michigan State/USA,6-5,202,4.0,,Forward-Guard,Inactive,N,0,,,,,maurice_ager,2006.0,2010.0,Y,Y,Y,2006,1,28,N
76016,Mark,Aguirre,Mark Aguirre,"Aguirre, Mark",M. Aguirre,mark-aguirre,1959-12-10 00:00:00,DePaul,USA,DePaul/USA,6-6,232,13.0,7,Forward,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADD_mark_aguirre,1981.0,1993.0,N,Y,Y,1981,1,1,N
201336,Blake,Ahearn,Blake Ahearn,"Ahearn, Blake",B. Ahearn,blake-ahearn,1984-05-27 00:00:00,Missouri State,USA,Missouri State/USA,6-2,190,4.0,2,Guard,Inactive,N,1610612748,Heat,MIA,heat,Miami,blake_ahearn,2007.0,2011.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
201582,Alexis,Ajinca,Alexis Ajinca,"Ajinca, Alexis",A. Ajinca,alexis-ajinca,1988-05-06 00:00:00,Hyeres-Toulon,France,Hyeres-Toulon/France,7-2,248,8.0,42,Center,Inactive,N,1610612740,Pelicans,NOP,pelicans,New Orleans,alexis_ajinca,2008.0,2017.0,Y,Y,Y,2008,1,20,N
76018,Henry,Akin,Henry Akin,"Akin, Henry",H. Akin,henry-akin,1944-07-31 00:00:00,Morehead State,USA,Morehead State/USA,6-10,225,2.0,10,Center,Inactive,N,1610612752,Knicks,NYK,knicks,New York,HISTADD_henry_akin,1966.0,1967.0,N,Y,Y,1966,2,11,N
203006,Josh,Akognon,Josh Akognon,"Akognon, Josh",J. Akognon,josh-akognon,1986-02-10 00:00:00,California State-Fullerton,USA,California State-Fullerton/USA,5-11,185,2.0,10,Guard,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,josh_akognon,2012.0,2012.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1629152,DeVaughn,Akoon-Purcell,DeVaughn Akoon-Purcell,"Akoon-Purcell, DeVaughn",D. Akoon-Purcell,devaughn-akoon-purcell,1993-06-05 00:00:00,Illinois State,Trinidad and Tobago,Illinois State/Trinidad and Tobago,6-6,200,2.0,,Guard-Forward,Inactive,N,0,,,,,devaughn_akoon-purcell,2018.0,2018.0,Y,Y,Y,2016,,,N
202374,Solomon,Alabi,Solomon Alabi,"Alabi, Solomon",S. Alabi,solomon-alabi,1988-03-21 00:00:00,Florida State,Nigeria,Florida State/Nigeria,7-1,252,3.0,50,Center,Inactive,N,1610612761,Raptors,TOR,raptors,Toronto,solomon_alabi,2010.0,2011.0,Y,Y,Y,2010,2,50,N
76019,Mark,Alarie,Mark Alarie,"Alarie, Mark",M. Alarie,mark-alarie,1963-12-11 00:00:00,Duke,USA,Duke/USA,6-8,217,5.0,31,Forward,Inactive,N,1610612764,Bullets,WAS,wizards,Washington,HISTADD_mark_alarie,1986.0,1990.0,N,Y,Y,1986,1,18,N
76020,Gary,Alcorn,Gary Alcorn,"Alcorn, Gary",G. Alcorn,gary-alcorn,1936-10-08 00:00:00,Fresno State,USA,Fresno State/USA,6-9,225,2.0,24,Center,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,HISTADD_gary_alcorn,1959.0,1960.0,N,Y,Y,1959,3,16,N
1630583,Santi,Aldama,Santi Aldama,"Aldama, Santi",S. Aldama,santi-aldama,2001-01-10 00:00:00,Loyola-Maryland,Spain,Loyola-Maryland/Spain,7-0,215,2.0,7,Forward-Center,Active,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,santi_aldama,2021.0,2023.0,Y,Y,Y,2021,1,30,N
203128,Furkan,Aldemir,Furkan Aldemir,"Aldemir, Furkan",F. Aldemir,furkan-aldemir,1991-08-09 00:00:00,Galatasaray,Turkey,Galatasaray/Turkey,6-10,240,2.0,19,Forward-Center,Inactive,N,1610612755,76ers,PHI,sixers,Philadelphia,furkan_aldemir,2014.0,2014.0,N,Y,Y,2012,2,53,N
202332,Cole,Aldrich,Cole Aldrich,"Aldrich, Cole",C. Aldrich,cole-aldrich,1988-10-31 00:00:00,Kansas,USA,Kansas/USA,6-11,253,9.0,45,Center,Inactive,N,1610612752,Knicks,NYK,knicks,New York,cole_aldrich,2010.0,2017.0,Y,Y,Y,2010,1,11,N
200746,LaMarcus,Aldridge,LaMarcus Aldridge,"Aldridge, LaMarcus",L. Aldridge,lamarcus-aldridge,1985-07-19 00:00:00,University of Texas at Austin,USA,Texas-Austin/USA,6-11,250,17.0,21,Center-Forward,Inactive,N,1610612751,Nets,BKN,nets,Brooklyn,lamarcus_aldridge,2006.0,2021.0,N,Y,Y,2006,1,2,N
1626146,Cliff,Alexander,Cliff Alexander,"Alexander, Cliff",C. Alexander,cliff-alexander,1995-11-16 00:00:00,Kansas,USA,Kansas/USA,6-8,240,2.0,34,Forward,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,cliff_alexander,2015.0,2015.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
724,Cory,Alexander,Cory Alexander,"Alexander, Cory",C. Alexander,cory-alexander,1973-06-22 00:00:00,Virginia,USA,Virginia/USA,6-1,190,8.0,12,Guard,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,cory_alexander,1995.0,2004.0,N,Y,Y,1995,1,29,N
201570,Joe,Alexander,Joe Alexander,"Alexander, Joe",J. Alexander,joe-alexander,1986-12-26 00:00:00,West Virginia,USA,West Virginia/USA,6-8,230,3.0,20,Forward,Inactive,N,1610612749,Bucks,MIL,bucks,Milwaukee,joe_alexander,2008.0,2009.0,Y,Y,Y,2008,1,8,N
1629734,Kyle,Alexander,Kyle Alexander,"Alexander, Kyle",K. Alexander,kyle-alexander,1996-10-21 00:00:00,Tennessee,Canada,Tennessee/Canada,6-10,216,2.0,17,Forward-Center,Inactive,N,1610612748,Heat,MIA,heat,Miami,kyle_alexander,2019.0,2019.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1630234,Ty-Shon,Alexander,Ty-Shon Alexander,"Alexander, Ty-Shon",T. Alexander,ty-shon-alexander,1998-07-16 00:00:00,Creighton,USA,Creighton/USA,6-3,195,2.0,0,Guard,Inactive,N,1610612756,Suns,PHX,suns,Phoenix,ty-shon_alexander,2020.0,2020.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
2349,Victor,Alexander,Victor Alexander,"Alexander, Victor",V. Alexander,victor-alexander,1969-08-31 00:00:00,Iowa State,USA,Iowa State/USA,6-10,265,5.0,9,Forward,Inactive,N,1610612744,Warriors,GOS,warriors,Golden State,victor_alexander,1991.0,2001.0,N,Y,Y,1991,1,17,N
1629638,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,"Alexander-Walker, Nickeil",N. Alexander-Walker,nickeil-alexander-walker,1998-09-02 00:00:00,Virginia Tech,Canada,Virginia Tech/Canada,6-5,205,4.0,9,Guard,Active,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,nickeil_alexander-walker,2019.0,2023.0,Y,Y,Y,2019,1,17,N
76024,Steve,Alford,Steve Alford,"Alford, Steve",S. Alford,steve-alford,1964-11-23 00:00:00,Indiana,USA,Indiana/USA,6-2,183,4.0,4,Guard,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADD_steve_alford,1987.0,1990.0,N,Y,Y,1987,2,26,N
1628959,Rawle,Alkins,Rawle Alkins,"Alkins, Rawle",R. Alkins,rawle-alkins,1997-10-29 00:00:00,Arizona,USA,Arizona/USA,6-5,225,2.0,20,Guard,Inactive,N,1610612741,Bulls,CHI,bulls,Chicago,rawle_alkins,2018.0,2018.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
76028,Bob,Allen,Bob Allen,"Allen, Bob",B. Allen,bob-allen,1946-07-17 00:00:00,Marshall,USA,Marshall/USA,6-9,205,1.0,50,Forward,Inactive,N,1610612744,Warriors,SFW,warriors,San Francisco,HISTADD_bob_allen,1968.0,1968.0,N,Y,Y,1968,6,71,N
1628960,Grayson,Allen,Grayson Allen,"Allen, Grayson",G. Allen,grayson-allen,1995-10-08 00:00:00,Duke,USA,Duke/USA,6-4,198,5.0,12,Guard,Active,N,1610612749,Bucks,MIL,bucks,Milwaukee,grayson_allen,2018.0,2023.0,Y,Y,Y,2018,1,21,N
1628386,Jarrett,Allen,Jarrett Allen,"Allen, Jarrett",J. Allen,jarrett-allen,1998-04-21 00:00:00,Texas,USA,Texas/USA,6-9,243,6.0,31,Center,Active,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,jarrett_allen,2017.0,2023.0,N,Y,Y,2017,1,22,N
1628443,Kadeem,Allen,Kadeem Allen,"Allen, Kadeem",K. Allen,kadeem-allen,1993-01-15 00:00:00,Arizona,USA,Arizona/USA,6-1,200,3.0,,Guard,Inactive,N,0,,,,,kadeem_allen,2017.0,2019.0,Y,Y,Y,2017,2,53,N
202730,Lavoy,Allen,Lavoy Allen,"Allen, Lavoy",L. Allen,lavoy-allen,1989-02-04 00:00:00,Temple,USA,Temple/USA,6-9,260,7.0,5,Forward-Center,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,lavoy_allen,2011.0,2016.0,Y,Y,Y,2011,2,50,N
76027,Lucius,Allen,Lucius Allen,"Allen, Lucius",L. Allen,lucius-allen,1947-09-26 00:00:00,UCLA,USA,UCLA/USA,6-2,175,10.0,42,Guard,Inactive,N,1610612749,Bucks,MIL,bucks,Milwaukee,HISTADD_lucius_allen,1969.0,1978.0,N,Y,Y,1969,1,3,N
2124,Malik,Allen,Malik Allen,"Allen, Malik",M. Allen,malik-allen,1978-06-27 00:00:00,Villanova,USA,Villanova/USA,6-10,255,11.0,35,Forward,Inactive,N,1610612748,Heat,MIA,heat,Miami,malik_allen,2001.0,2010.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
2754,Tony,Allen,Tony Allen,"Allen, Tony",T. Allen,tony-allen,1982-01-11 00:00:00,Oklahoma State,USA,Oklahoma State/USA,6-4,213,14.0,,Guard-Forward,Inactive,N,0,,,,,tony_allen,2004.0,2017.0,N,Y,Y,2004,1,25,N
76029,Odis,Allison,Odis Allison,"Allison, Odis",O. Allison,odis-allison,1949-10-02 00:00:00,UNLV,USA,UNLV/USA,6-6,195,1.0,22,Forward,Inactive,N,1610612744,Warriors,GOS,warriors,Golden State,HISTADD_odis_allison,1971.0,1971.0,N,Y,Y,1971,5,76,N
200984,Lance,Allred,Lance Allred,"Allred, Lance",L. Allred,lance-allred,1981-02-02 00:00:00,Weber State,USA,Weber State/USA,6-11,250,2.0,41,Center,Inactive,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,lance_allred,2007.0,2007.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
76030,Darrell,Allums,Darrell Allums,"Allums, Darrell",D. Allums,darrell-allums,1958-09-12 00:00:00,UCLA,USA,UCLA/USA,6-8,220,1.0,32,Forward,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADD_darrell_allums,1980.0,1980.0,N,Y,Y,1980,5,103,N
201165,Morris,Almond,Morris Almond,"Almond, Morris",M. Almond,morris-almond,1985-02-02 00:00:00,Rice,USA,Rice/USA,6-6,225,4.0,21,Guard,Inactive,N,1610612762,Jazz,UTA,jazz,Utah,morris_almond,2007.0,2011.0,Y,Y,Y,2007,1,25,N
308,Derrick,Alston,Derrick Alston,"Alston, Derrick",D. Alston,derrick-alston,1972-08-20 00:00:00,Duquesne,USA,Duquesne/USA,6-11,225,3.0,,Center,Inactive,N,0,,,,,derrick_alston,1994.0,1996.0,N,Y,Y,1994,2,33,N
1747,Rafer,Alston,Rafer Alston,"Alston, Rafer",R. Alston,rafer-alston,1976-07-24 00:00:00,Fresno State,USA,Fresno State/USA,6-2,175,11.0,11,Guard,Inactive,N,1610612745,Rockets,HOU,rockets,Houston,rafer_alston,1999.0,2009.0,Y,Y,Y,1998,2,39,N
1824,Peter,Aluma,Peter Aluma,"Aluma, Peter",P. Aluma,peter-aluma,1973-04-26 00:00:00,Liberty,USA,Liberty/USA,6-10,260,1.0,,Center,Inactive,N,0,,,,,peter_aluma,1998.0,1998.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
1630631,Jose,Alvarado,Jose Alvarado,"Alvarado, Jose",J. Alvarado,jose-alvarado,1998-04-12 00:00:00,Georgia Tech,USA,Georgia Tech/USA,6-0,179,2.0,15,Guard,Active,N,1610612740,Pelicans,NOP,pelicans,New Orleans,jose_alvarado,2021.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
680,John,Amaechi,John Amaechi,"Amaechi, John",J. Amaechi,john-amaechi,1970-11-26 00:00:00,Penn State,United Kingdom,Penn State/United Kingdom,6-10,270,6.0,13,Forward-Center,Inactive,N,1610612753,Magic,ORL,magic,Orlando,john_amaechi,1995.0,2002.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
200811,Lou,Amundson,Lou Amundson,"Amundson, Lou",L. Amundson,lou-amundson,1982-12-07 00:00:00,UNLV,USA,UNLV/USA,6-9,220,11.0,17,Forward,Inactive,N,1610612756,Suns,PHX,suns,Phoenix,lou_amundson,2006.0,2015.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
2365,Chris,Andersen,Chris Andersen,"Andersen, Chris",C. Andersen,chris-andersen,1978-07-07 00:00:00,Blinn J.C.,USA,Blinn J.C./USA,6-10,245,15.0,,Forward-Center,Inactive,N,0,,,,,chris_andersen,2001.0,2016.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
2431,David,Andersen,David Andersen,"Andersen, David",D. Andersen,david-andersen,1980-06-23 00:00:00,FC Barcelona,Australia,FC Barcelona/Australia,,,20.0,,,Inactive,N,0,,,,,david_andersen,2009.0,2017.0,N,Y,Y,2002,2,36,N
101187,Alan,Anderson,Alan Anderson,"Anderson, Alan",A. Anderson,alan-anderson,1982-10-16 00:00:00,Michigan State,USA,Michigan State/USA,6-6,220,9.0,9,Forward-Guard,Inactive,N,1610612751,Nets,BKN,nets,Brooklyn,alan_anderson,2005.0,2016.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
202079,Antonio,Anderson,Antonio Anderson,"Anderson, Antonio",A. Anderson,antonio-anderson,1985-06-05 00:00:00,Memphis,USA,Memphis/USA,6-6,215,2.0,,Guard,Inactive,N,0,,,,,antonio_anderson,2009.0,2009.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
76036,Daniel,Anderson,Daniel Anderson,"Anderson, Daniel",D. Anderson,daniel-anderson,1951-01-01 00:00:00,Southern California,USA,Southern California/USA,6-2,185,2.0,33,Guard,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_daniel_anderson,1974.0,1975.0,N,Y,Y,1974,6,92,N
1507,Derek,Anderson,Derek Anderson,"Anderson, Derek",D. Anderson,derek-anderson,1974-07-18 00:00:00,Kentucky,USA,Kentucky/USA,6-5,195,12.0,1,Guard,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,derek_anderson,1997.0,2007.0,N,Y,Y,1997,1,13,N
76037,Dwight,Anderson,Dwight Anderson,"Anderson, Dwight",D. Anderson,dwight-anderson,1960-12-28 00:00:00,Southern California,USA,Southern California/USA,6-3,185,1.0,20,Guard,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,HISTADD_dwight_anderson,1982.0,1982.0,N,Y,Y,1982,2,41,N
944,Eric,Anderson,Eric Anderson,"Anderson, Eric",E. Anderson,eric-anderson,1970-05-26 00:00:00,Indiana,USA,Indiana/USA,6-9,220,2.0,42,Forward,Inactive,N,1610612752,Knicks,NYK,knicks,New York,eric_anderson,1992.0,1993.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
246,Greg,Anderson,Greg Anderson,"Anderson, Greg",G. Anderson,greg-anderson,1964-06-22 00:00:00,Houston,USA,Houston/USA,6-10,250,10.0,0,Center-Forward,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,greg_anderson,1987.0,1997.0,N,Y,Y,1987,1,23,N
202341,James,Anderson,James Anderson,"Anderson, James",J. Anderson,james-anderson,1989-03-25 00:00:00,Oklahoma State,USA,Oklahoma State/USA,6-6,213,6.0,5,Guard-Forward,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,james_anderson,2010.0,2015.0,Y,Y,Y,2010,1,20,N
76040,Jerome,Anderson,Jerome Anderson,"Anderson, Jerome",J. Anderson,jerome-anderson,1953-10-09 00:00:00,West Virginia,USA,West Virginia/USA,6-5,195,2.0,21-23,Guard,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,HISTADD_jerome_anderson,1975.0,1976.0,N,Y,Y,1975,3,53,N
1626147,Justin,Anderson,Justin Anderson,"Anderson, Justin",J. Anderson,justin-anderson,1993-11-19 00:00:00,Virginia,USA,Virginia/USA,6-5,231,7.0,,Forward-Guard,Inactive,N,0,,,,,justin_anderson,2015.0,2021.0,Y,Y,Y,2015,1,21,N
72,Kenny,Anderson,Kenny Anderson,"Anderson, Kenny",K. Anderson,kenny-anderson,1970-10-09 00:00:00,Georgia Tech,USA,Georgia Tech/USA,6-1,168,14.0,,Guard,Inactive,N,0,,,,,kenny_anderson,1991.0,2004.0,N,Y,Y,1991,1,2,N
76041,Kim,Anderson,Kim Anderson,"Anderson, Kim",K. Anderson,kim-anderson,1955-05-12 00:00:00,Missouri,USA,Missouri/USA,6-7,200,1.0,42,Forward,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_kim_anderson,1978.0,1978.0,N,Y,Y,1978,7,146,N
203937,Kyle,Anderson,Kyle Anderson,"Anderson, Kyle",K. Anderson,kyle-anderson,1993-09-20 00:00:00,UCLA,USA,UCLA/USA,6-9,230,9.0,5,Forward-Guard,Active,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,kyle_anderson,2014.0,2023.0,Y,Y,Y,2014,1,30,N
